ride_id,count
F8A9257D1DD04F43,2
1EF6CBC15814F5DA,2
43637BA11F2DAA42,2
C8279789821AE094,2
C4348E6A5DF57407,2
0AF69D1A20891AD2,2
B3C137975492B86D,2
3A1629D062D4B70D,2
11D27AC26E0042CF,2
CE5D8C80E791A4BE,2
C80171A2E5BE24EA,2
F74208AD3A0B73CB,2
41672C5E95EBBC67,2
D2D1637EEDB9BA15,2
830A1214FF37C7BB,2
AA04719102286440,2
2F6D74102A4FFFD6,2
BF264DE1F48920ED,2
457012CA083F9E32,2
657D12F170F26244,2
88BFB17F3D4B715B,2
4DB84959E1658F13,2
7A3224608C3E5179,2
856C7C0338131AAA,2
AFDEB5CA289CD1EA,2
0AE60485F97A473D,2
8BF93D4DDB0C0813,2
456B53D1210C6052,2
B1B9E66D2E7C383D,2
48336A2CA0B002D9,2
8C8875FAB92C98E4,2
F56A74CBCE0D5CEC,2
1287B41238736829,2
CB85886B0C75E7A5,2
6DB231C0E18B1A4F,2
E3023D3FDD3EEAED,2
990470E7F6F4F760,2
1670C17367E02F66,2
FEA150E7A56F187E,2
CA12CCDD359DA80C,2
BDF5D09E0EE33741,2
A454DCC96C4483CC,2
C4FA41C192AB56D6,2
93D930D5CFDA0E73,2
72EEF94673D4E796,2
7B279FD3CB975215,2
BB8229EB1FE3CFA5,2
D0E4678A0FA7AF41,2
F7196176B3B2F9CF,2
911805B6A69F6204,2
5DCA3BA77BCB1B6D,2
E011D7A381AEF0A7,2
C899AFD24E3306F0,2
C5EF63A2DE8E57A8,2
10B8505E74E83213,2
2F9BC5B5C50E3E3C,2
7238771678C03E5F,2
E8E59D45A4AEFD11,2
4975DC01D7671AEF,2
9362AABA6A352CC9,2
9FF6FFB668739B47,2
2C772EDDDBDEFDA3,2
ABFFF6C6D8887D92,2
4E7D10C3CC65E8A2,2
7BC67FD33887B3CB,2
2693CC283E128075,2
394331DFAF9F2347,2
3A0BC4DC143CCD47,2
BC2B0F1981C8482E,2
116163E4247CD8D2,2
E44822A2626D9047,2
718E4ECBD0FE1440,2
6ED3DDF49B9EE461,2
0625A51D397A68F9,2
55363479163E779D,2
1031D4B5FAB89670,2
97FB4EDFD12E4192,2
E4A5714390A3C462,2
0BA4301425A10833,2
57C1F1D6D25698C9,2
23F678CC1EB2E18F,2
BDEBE20B7BAA1E46,2
96525F541FF8A077,2
2EB522511165DB63,2
1B57E6F3A5495300,2
CFEA352ECBC2DAD6,2
8F03D46E5BA76187,2
07DBFDA3C91006AE,2
182D4AC517DFD38A,2
8E32D178ED360513,2
05D27072A33A290C,2
F7E3361ABB32F747,2
95B4A852D801C77A,2
4BE365649B9B5D30,2
FA03ED5FBCE6E570,2
171D1ADC1F6AB687,2
3F8AA01C33AD62BA,2
5CF14A89027D325F,2
93DE9869CB329AC0,2
CF25E56A43052CFF,2
0C2E6C64DFAB2BB2,2
D115C403314536C4,2
57D54C76FF580E3C,2
3CE5E2EB3B4E1999,2
9C7764DA6B616DA8,2
5E5E9FCB293D242D,2
5322E55C9310A9D2,2
BE96DFD7724F59C5,2
43CD52984AD22D99,2
DF457AB27F30DC3D,2
AA68E251D9989D2C,2
992E375F7C47F5CC,2
0F96F0BD8E9401F0,2
39ECDF3F0C281CE5,2
75AEF6DA7DAECFFA,2
44CC4F2EBA96A21E,2
710616EF83DFB247,2
43F5E06516957BF9,2
FCA692A3455D0366,2
ABBD88BEBC1431FF,2
498F8D958AA5D698,2
